abrir,ouvrir
aceptar,accepter
almorzar,prendre le dejeuner
gustar,aimer
apagar,éteindre
aprender,apprendre
arreglar,réparer
ayudar,aider
bailar,danser
beber,boire
buscar,chercher
cambiar,changer
caminar,marcher
cenar,prendre le diner
cerrar,fermer
conocer,connaitre
comer,manger
comprar,acheter
comprender,comprendre
conducir,conduire
contar,compter raconter
correr,courir
cortar,couper
crear,créer
creer,croire
dar,donner
decidir,decider
decir,dire
desayunar,prendre le petit dejeuner
descansar,se reposer
despertar,se reveiller
dibujar,dessiner
dormir,dormir
encender,allumer
encontrar,trouver
enseñar,enseigner
enviar,envoyer
escribir,ecrire
escuchar,écouter
esperar,attendre espérer
estar,être (état transitoire pour lieux émotions et conditions)
estudiar,étudier
explicar,expliquer
firmar,signer
ganar,gagner
gastar,depenser
haber,avoir
habitar,habiter
hablar,parler
hacer,faire
intentar,essayer
ir,aller
jugar,jouer
lavar,laver
leer,lire
limpiar,nettoyer
llamar,appeler
llover,pleuvoior
mirar,regarder
necesitar,avoir besoin
olvisar,oublier
organizar,organiser
pagar,payer
pedir,demander commander
pegar,coller
pensar,penser
permitir,permettre
poder,pouvoir
poner,mettre
preguntar,demander
preparar,preparer
prestar,preter
querer,vouloir
recibir,recevoir
recoger,ramasser récupérer
responder,répondre
romper,casser
saber,savoir
salir,sortir
seguir,continuer suivre
sentarse,s'asseoir
senter,sentir être désolé
ser,être (état permanent caractéristiques essentielles)
servir,servir
terminar,finir
tomar,prendre
trabajar,travailler
traer,apporter
usar,utiliser
vender,vendre
venir,venir
ver,voir
vestirse,s'habiller
viajar,voyager
vivir,vivre
volver,revenir
